mergeable,commits,additions,deletions,changed_files,open_issues_count,watchers_count,forks_count,has_discussions,has_wiki,has_projects,stargazers_count,title_size,merged,language
1,1,128,0,1,0,0,0,0,1,1,0,25,1,css
1,1,166,171,1,1,0,0,0,1,1,0,40,1,python
1,1,185,59,6,0,0,0,0,1,1,0,19,1,c#
1,1,263,118,2,14,104,104,0,1,1,104,53,0,javascript
1,1,280,120,2,0,0,0,0,1,1,0,16,1,dart
1,1,281,51,6,0,0,0,0,1,1,0,47,1,shaderlab
1,1,335,91,19,5,15,15,0,0,0,15,45,1,typescript
1,1,343,3,3,0,0,0,0,1,1,0,24,0,css
1,1,395,272,2,4,0,0,0,1,1,0,61,0,handlebars
1,1,438,26,15,693,15452,15452,1,1,1,15452,49,1,typescript
1,1,457,9,11,0,0,0,0,1,1,0,15,1,scss
1,1,494,494,1,2186,75212,75212,1,0,1,75212,57,0,typescript
1,1,505,470,2,7,0,0,0,1,1,0,37,1,typescript
1,1,742,58,5,0,2,2,0,1,1,2,16,1,jupyter notebook
1,1,792,35,1,6,4,4,0,0,0,4,35,0,typescript
1,1,1241,1370,2,8,0,0,0,1,1,0,45,0,javascript
1,1,1241,1370,2,8,0,0,0,1,1,0,45,0,javascript
1,1,1290,1668,2,10,333,333,0,0,1,333,45,0,javascript
1,1,1319,27,3,19,86,86,1,1,1,86,30,1,python
1,1,4147,1986,38,0,0,0,0,1,1,0,32,1,python
1,1,5255,5397,3,21,0,0,0,1,1,0,45,0,javascript
1,1,6945,16,346,0,2,2,0,1,1,2,19,1,javascript
1,1,23030,17464,2,196,139,139,1,1,1,139,54,0,javascript
1,2,0,0,0,6,0,0,0,1,1,0,5,1,ruby
1,2,0,0,0,8,3,3,0,1,1,3,9,1,javascript
1,2,1,0,1,0,0,0,0,1,1,0,4,1,javascript
1,2,1,1,1,2,2,2,0,0,0,2,13,1,svelte
1,2,2,2,3,4,2,2,0,1,1,2,13,1,xslt
1,2,2,1058,46,1578,96822,96822,1,0,0,96822,39,1,javascript
1,2,6,6,2,17,2,2,0,1,1,2,55,1,shell
1,2,8,178,4,1,0,0,0,0,0,0,51,1,typescript
1,2,9,2,1,2,0,0,0,1,1,0,33,1,html
1,2,13,9,2,1,69,69,0,1,1,69,27,1,swift
1,2,14,1,2,0,0,0,0,1,1,0,28,1,javascript
1,2,26,12,2,22,6896,6896,1,1,0,6896,43,1,c++
1,2,43,31,7,0,0,0,0,0,1,0,36,1,c#
1,2,46,7,9,0,0,0,0,1,1,0,9,1,javascript
1,2,48,45,2,5,0,0,0,0,0,0,26,0,javascript
1,2,60,2,22,4,7,7,0,1,1,7,38,1,go
1,2,228,202,9,4,0,0,0,1,1,0,5,1,typescript
1,2,377,146,13,375,5290,5290,1,0,0,5290,78,1,rust
1,2,1887,1,49,0,0,0,0,1,1,0,16,0,kotlin
1,3,33,16,2,119,490,490,1,1,1,490,33,1,rust
1,3,67,62,4,30,5,5,0,1,1,5,12,1,typescript
1,3,97,18,9,3,17,17,1,0,1,17,21,1,javascript
1,3,691,262,16,2,19,19,0,1,1,19,44,1,rust
1,3,4215,64,29,0,0,0,0,1,1,0,5,1,dart
1,3,11041,67,62,0,0,0,0,1,1,0,8,1,python
1,4,6,6,4,5,3,3,0,1,1,3,34,1,javascript
1,4,19,0,1,6,16,16,0,1,1,16,11,1,rust
1,4,21,1,3,0,0,0,0,1,1,0,5,1,dart
1,4,43,12,7,0,0,0,0,1,1,0,5,1,typescript
1,4,62,12,3,17,9,9,0,0,1,9,43,1,ruby
1,4,267,159,20,0,2,2,0,1,1,2,16,1,java
1,4,397,30,22,4,0,0,0,1,1,0,19,1,c#
1,4,1008,749,19,8,0,0,0,1,1,0,5,1,vue
1,4,3096,4,8,3,8,8,0,1,1,8,34,1,html
1,4,20511,15127,137,0,0,0,0,1,1,0,4,1,c#
1,5,0,0,0,1,2,2,0,1,1,2,3,1,jupyter notebook
1,5,137,1099,20,14,1,1,0,0,0,1,19,0,apex
1,6,5,1,1,0,0,0,0,1,1,0,21,0,java
1,6,14,6,3,2,3,3,0,1,1,3,10,0,typescript
1,6,17,21,3,0,0,0,0,1,1,0,6,1,css
1,6,44,8,4,1,0,0,0,1,1,0,14,1,c++
1,6,79,15,6,0,0,0,0,1,1,0,37,1,php
1,7,49,40,10,1,0,0,0,1,1,0,15,1,java
1,7,411,126,3,0,0,0,0,1,1,0,31,1,css
1,7,554,0,7,4,0,0,0,1,1,0,8,1,css
1,7,4053,1971,21,0,0,0,0,1,1,0,17,1,python
1,8,56,31,4,1,10,10,0,0,0,10,28,1,c#
1,8,77,86,9,0,0,0,0,1,1,0,22,1,go
1,8,139,129,8,69,1,1,0,1,1,1,29,1,javascript
1,8,234,4,6,18,1,1,0,0,0,1,25,1,go
1,8,1753,29,11,0,0,0,0,1,1,0,5,0,javascript
1,8,2445,83,11,0,0,0,0,1,1,0,24,1,typescript
1,13,823,197,10,0,0,0,0,0,1,0,37,1,python
1,15,63,114,16,1,0,0,0,1,1,0,44,1,typescript
1,15,211,10,5,0,0,0,0,1,1,0,11,1,java
1,24,309,47,11,433,1141,1141,0,1,0,1141,69,1,javascript
1,28,119,35,6,0,0,0,0,0,1,0,49,0,rust
1,42,626,25,45,57,6,6,0,1,1,6,24,0,javascript
1,47,518,174,29,0,0,0,0,1,1,0,17,1,python
1,52,112,115,52,0,0,0,0,0,1,0,34,1,ruby
1,151,8380,6421,296,10,19,19,0,1,1,19,9,1,typescript
1,1,0,0,0,0,0,0,0,1,1,0,46,1,html
1,1,0,0,0,24,0,0,1,0,1,0,51,1,php
1,1,0,0,1,0,0,0,0,1,1,0,34,1,javascript
1,1,0,0,1,0,2,2,0,1,1,2,27,1,c++
1,1,0,1,1,124,1297,1297,1,0,0,1297,28,1,php
1,1,1,0,1,0,0,0,0,1,1,0,15,0,python
1,1,1,1,1,0,0,0,0,1,1,0,23,1,typescript
1,1,1,1,1,1,0,0,0,1,1,0,37,0,dockerfile
1,1,1,1,1,2,0,0,0,1,1,0,31,0,shell
1,1,1,1,1,2,0,0,0,1,1,0,42,0,python
1,1,1,1,1,2,0,0,0,1,1,0,47,1,python
1,1,1,1,1,4,67,67,0,1,1,67,56,0,go
1,1,1,1,1,5,0,0,0,1,1,0,37,0,python
1,1,1,1,1,6,1,1,0,1,1,1,44,0,javascript
1,1,1,1,1,9,0,0,0,1,1,0,56,0,shell
1,1,1,1,1,10,0,0,0,1,1,0,31,0,python
1,1,1,1,1,11,0,0,0,0,1,0,42,0,javascript
1,1,1,1,1,170,3731,3731,1,0,1,3731,41,0,go
1,1,1,1,1,211,44,44,0,0,0,44,72,1,yaml
1,1,1,2,1,2,86,86,0,1,1,86,37,1,c++
1,1,1,3,1,0,0,0,0,1,1,0,25,1,javascript
1,1,2,0,1,159,578,578,0,1,1,578,60,1,f#
1,1,2,1,1,2,0,0,0,1,1,0,41,1,typescript
1,1,2,1,1,17,460,460,0,0,0,460,42,1,go
1,1,2,1,2,65,173,173,0,1,1,173,55,1,mustache
1,1,2,2,1,0,0,0,0,1,1,0,23,0,javascript
1,1,2,2,1,0,0,0,0,1,1,0,49,1,jupyter notebook
1,1,2,2,1,0,4,4,0,0,0,4,64,0,ballerina
1,1,2,2,1,1,0,0,0,1,1,0,5,1,html
1,1,2,2,2,2,0,0,0,1,1,0,69,0,shell
1,1,2,2,2,13,18,18,1,1,1,18,69,1,kotlin
1,1,2,4,1,0,0,0,0,1,1,0,36,1,rust
1,1,2,6,2,0,4,4,0,1,1,4,34,1,typescript
1,1,2,21,2,0,0,0,0,1,1,0,18,1,python
1,1,3,1,1,0,0,0,0,1,1,0,17,1,ruby
1,1,3,3,1,0,2,2,0,1,1,2,57,1,typescript
1,1,3,3,1,1,0,0,0,0,0,0,50,1,javascript
1,1,3,3,1,8,26,26,0,1,1,26,44,0,typescript
1,1,3,3,1,16,0,0,0,1,1,0,44,1,c#
1,1,3,3,1,17,0,0,0,1,1,0,33,0,php
1,1,3,3,1,51,0,0,0,0,1,0,71,1,brainfuck
1,1,3,3,1,72,0,0,0,0,1,0,43,0,python
1,1,3,6,3,0,0,0,0,1,1,0,28,1,typescript
1,1,4,2,1,41,933,933,1,1,0,933,45,1,c++
1,1,4,4,1,0,0,0,0,1,1,0,32,1,javascript
1,1,5,5,2,0,1,1,0,1,1,1,19,1,html
1,1,5,5,2,5,4,4,1,1,1,4,58,0,typescript
1,1,5,5,2,7,2,2,0,1,1,2,52,1,typescript
1,1,6,0,1,4,2,2,0,1,1,2,47,1,roff
1,1,6,31,1,1,0,0,0,1,1,0,37,1,javascript
1,1,7,3,2,7,4,4,0,1,1,4,31,1,c#
1,1,7,7,1,89,74,74,1,1,1,74,66,0,python
1,1,8,1,2,0,0,0,0,0,1,0,27,1,shell
1,1,8,8,2,0,0,0,0,1,1,0,33,1,typescript
1,1,8,8,2,5,0,0,0,1,1,0,51,0,typescript
1,1,8,8,2,5,0,0,0,1,1,0,56,0,html
1,1,10,10,2,0,4,4,0,1,1,4,41,1,vue
1,1,10,10,2,5,0,0,0,1,1,0,32,0,vue
1,1,10,12,2,7,0,0,0,1,1,0,41,0,javascript
1,1,11,11,2,7,0,0,0,1,1,0,44,0,javascript
1,1,12,1,2,0,0,0,0,1,1,0,6,1,php
1,1,15,8,2,220,2682,2682,1,0,0,2682,52,1,python
1,1,16,4,3,1,0,0,0,1,1,0,8,1,ruby
1,1,16,16,2,6,4,4,0,1,1,4,43,0,typescript
1,1,19,1,1,0,0,0,0,1,1,0,12,1,typescript
1,1,19,5,2,10,2,2,0,1,1,2,36,0,rust
1,1,19,13,2,22,0,0,0,0,1,0,56,0,go
1,1,19,19,2,23,0,0,0,1,1,0,61,0,dart
1,1,21,0,1,0,3,3,1,1,1,3,14,1,typescript
1,1,22,21,1,16,5,5,0,1,1,5,30,1,c#
1,1,22,37,3,0,2,2,0,1,1,2,20,1,go
1,1,26,0,5,1,2572,2572,0,0,0,2572,30,0,javascript
1,1,29,10,10,64,627,627,0,1,1,627,65,0,shell
1,1,29,27,1,2,0,0,0,1,1,0,16,1,c++
1,1,30,0,1,0,0,0,0,1,1,0,33,0,vue
1,1,33,23,24,0,0,0,0,1,1,0,20,1,html
1,1,37,43,2,6,0,0,0,1,1,0,45,1,javascript
1,1,47,48,2,8,2,2,0,1,1,2,48,1,typescript
1,1,47,96,4,1,0,0,0,1,1,0,29,1,javascript
1,1,52,26,2,43,52,52,0,1,1,52,38,1,scss
1,1,53,16,8,0,0,0,0,1,1,0,35,1,javascript
1,1,55,28,2,5,3,3,0,1,1,3,36,0,typescript
1,1,56,9,6,51,2579,2579,0,0,1,2579,55,1,ruby
1,1,57,4,4,0,0,0,0,1,1,0,14,1,html
1,1,65,11,1,17,0,0,0,1,1,0,42,1,php
1,1,75,100,1,0,0,0,0,1,1,0,4,1,typescript
1,1,76,15,3,0,0,0,0,1,1,0,18,1,ruby
1,1,84,14,4,543,434,434,0,0,1,434,37,1,typescript
1,1,87,291,35,0,0,0,0,1,1,0,59,1,c#
1,1,92,5,1,0,0,0,0,1,1,0,31,1,javascript
1,1,116,6,10,0,0,0,0,1,1,0,4,1,ruby
1,1,116,69,2,197,177,177,0,0,1,177,55,1,typescript
1,1,121,121,2,6,0,0,0,1,1,0,31,0,typescript
1,1,136,10,5,0,0,0,0,1,1,0,42,1,swift
1,1,150,2,5,0,0,0,0,1,1,0,8,1,typescript
1,1,157,157,24,12,0,0,0,1,1,0,53,1,go
1,1,204,49,1,36,2,2,0,1,1,2,47,0,python
1,1,209,193,7,0,3,3,0,0,1,3,36,1,php
1,1,233,155,2,16,0,0,0,1,1,0,31,0,javascript
1,1,239,161,2,6,0,0,0,1,1,0,31,0,typescript
1,1,257,17,2,10,0,0,0,1,1,0,52,0,vue
1,1,260,0,3,0,0,0,0,1,1,0,40,1,php
1,1,303,50,9,0,0,0,0,1,1,0,41,1,ruby
1,1,318,21,6,1,0,0,0,1,1,0,20,1,javascript
1,1,319,599,3,4,0,0,0,1,1,0,37,0,javascript
1,1,338,45,9,0,0,0,0,1,1,0,15,1,typescript
1,1,341,290,9,339,1933,1933,1,1,1,1933,55,1,python
1,1,345,145,2,10,0,0,0,1,1,0,44,0,typescript
1,1,383,2841,3,6,0,0,0,1,1,0,37,0,typescript
1,1,408,460,2,18,0,0,0,1,1,0,40,1,c#
1,1,429,156,2,13,4,4,0,1,1,4,45,0,typescript
1,1,648,295,2,10,0,0,0,1,1,0,45,0,typescript
1,1,667,589,12,10121,18032,18032,1,0,1,18032,78,1,typescript
1,1,706,4,4,1,9,9,0,0,0,9,11,1,python
1,1,1241,1370,2,8,0,0,0,1,1,0,45,0,javascript
1,1,1241,1370,2,8,0,0,0,1,1,0,45,0,javascript
1,1,1683,1909,3,10,0,0,0,1,1,0,60,0,php
1,1,2625,6711,33,0,0,0,0,1,1,0,7,1,c#
1,1,2795,1601,2,11,1,1,0,1,1,1,47,0,typescript
1,1,3267,1360,2,18,0,0,0,0,0,0,39,0,typescript
1,1,32999,16613,3,75,18,18,0,1,1,18,49,0,typescript
1,2,1,0,1,0,0,0,0,1,1,0,4,1,javascript
1,2,1,0,1,0,0,0,0,1,1,0,4,1,javascript
1,2,1,0,1,4,7,7,0,1,1,7,15,1,html
1,2,1,1,2,0,0,0,0,1,1,0,16,1,vue
1,2,2,1,1,904,26470,26470,0,1,1,26470,17,1,javascript
1,2,6,2,2,7,0,0,0,1,1,0,7,1,typescript
1,2,6,8,6,2685,20682,20682,0,1,1,20682,30,1,php
